,statecounty,ruralurban
904,KS Comanche,1
905,KS Cowley,0
906,KS Crawford,0
907,KS Decatur,1
908,KS Dickinson,1
909,KS Doniphan,1
910,KS Douglas,0
911,KS Edwards,1
912,KS Elk,1
913,KS Ellis,0
914,KS Ellsworth,1
915,KS Finney,0
916,KS Ford,0
917,KS Franklin,1
918,KS Geary,0
919,KS Gove,1
920,KS Graham,1
921,KS Grant,0
922,KS Gray,1
923,KS Greeley,1
924,KS Greenwood,1
925,KS Hamilton,1
926,KS Harper,1
927,KS Harvey,0
928,KS Haskell,1
929,KS Hodgeman,1
930,KS Jackson,1
931,KS Jefferson,1
932,KS Jewell,1
933,KS Johnson,0
934,KS Kearny,1
935,KS Kingman,1
936,KS Kiowa,1
937,KS Labette,1
938,KS Lane,1
939,KS Leavenworth,0
940,KS Lincoln,1
941,KS Linn,1
942,KS Logan,1
943,KS Lyon,0
944,KS McPherson,0
945,KS Marion,1
946,KS Marshall,1
947,KS Meade,1
948,KS Miami,1
949,KS Mitchell,0
950,KS Montgomery,0
951,KS Morris,1
952,KS Morton,1
953,KS Nemaha,1
954,KS Neosho,0
955,KS Ness,1
956,KS Norton,0
957,KS Osage,1
958,KS Osborne,1
959,KS Ottawa,1
960,KS Pawnee,0
961,KS Phillips,1
962,KS Pottawatomie,1
963,KS Pratt,0
964,KS Rawlins,1
965,KS Reno,0
966,KS Republic,1
967,KS Rice,1
968,KS Riley,0
969,KS Rooks,1
970,KS Rush,1
971,KS Russell,0
972,KS Saline,0
973,KS Scott,0
974,KS Sedgwick,0
975,KS Seward,0
976,KS Shawnee,0
977,KS Sheridan,1
978,KS Sherman,0
979,KS Smith,1
980,KS Stafford,1
981,KS Stanton,1
982,KS Stevens,0
983,KS Sumner,1
984,KS Thomas,0
985,KS Trego,1
986,KS Wabaunsee,1
987,KS Wallace,1
988,KS Washington,1
989,KS Wichita,1
990,KS Wilson,1
991,KS Woodson,1
992,KS Wyandotte,0
993,KY Adair,1
994,KY Allen,1
995,KY Anderson,0
996,KY Ballard,1
997,KY Barren,1
998,KY Bath,1
999,KY Bell,1
1000,KY Boone,0
1001,KY Bourbon,0
1002,KY Boyd,0
1003,KY Boyle,0
1004,KY Bracken,1
1005,KY Breathitt,1
1006,KY Breckinridge,1
1007,KY Bullitt,0
1008,KY Butler,1
1009,KY Caldwell,1
1010,KY Calloway,0
1011,KY Campbell,0
1012,KY Carlisle,1
1013,KY Carroll,1
1014,KY Carter,1
1015,KY Casey,1
1016,KY Christian,0
1017,KY Clark,0
1018,KY Clay,1
1019,KY Clinton,1
1020,KY Crittenden,1
1021,KY Cumberland,1
1022,KY Daviess,0
1023,KY Edmonson,1
1024,KY Elliott,1
1025,KY Estill,1
1026,KY Fayette,0
1027,KY Fleming,1
1028,KY Floyd,1
1029,KY Franklin,0
1030,KY Fulton,1
1031,KY Gallatin,1
1032,KY Garrard,1
1033,KY Grant,1
1034,KY Graves,1
1035,KY Grayson,1
1036,KY Green,1
1037,KY Greenup,0
1038,KY Hancock,1
1039,KY Hardin,0
1040,KY Harlan,1
1041,KY Harrison,1
1042,KY Hart,1
1043,KY Henderson,0
1044,KY Henry,1
1045,KY Hickman,1
1046,KY Hopkins,0
1047,KY Jackson,1
1048,KY Jefferson,0
1049,KY Jessamine,0
1050,KY Johnson,1
1051,KY Kenton,0
1052,KY Knott,1
1053,KY Knox,1
1054,KY Larue,1
1055,KY Laurel,1
1056,KY Lawrence,1
1057,KY Lee,1
1058,KY Leslie,1
1059,KY Letcher,1
1060,KY Lewis,1
1061,KY Lincoln,1
1062,KY Livingston,1
1063,KY Logan,1
1064,KY Lyon,1
1065,KY McCracken,0
1066,KY McCreary,1
1067,KY McLean,1
1068,KY Madison,0
1069,KY Magoffin,1
1070,KY Marion,1
1071,KY Marshall,1
1072,KY Martin,1
1073,KY Mason,1
1074,KY Meade,1
1075,KY Menifee,1
1076,KY Mercer,1
1077,KY Metcalfe,1
1078,KY Monroe,1
1079,KY Montgomery,1
1080,KY Morgan,1
1081,KY Muhlenberg,1
1082,KY Nelson,1
1083,KY Nicholas,1
1084,KY Ohio,1
1085,KY Oldham,0
1086,KY Owen,1
1087,KY Owsley,1
1088,KY Pendleton,1
